#mpa_v30_CHOCOPhlAn_201901
clade_name	clade_taxid	R28.S	R28.L	R28.K	R27.S	R27.L	R27.K	R26.S	R26.L	R26.K	R22.S	R22.L	R22.K
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Caudovirales_unclassified|g__Caudovirales_unclassified	10239|||28883||	0	0	0	0	0	0	0	0	0	5.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Caudovirales_unclassified|g__Caudovirales_unclassified|s__Enterobacteria_phage_P4	10239|||28883|||10680	0	0	0	0	0	0	0	0	0	5.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__P1virus	10239|||28883|10662|186789	0	0	0	144.0	0	0	0	0	0	121.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__P1virus|s__Escherichia_virus_P1	10239|||28883|10662|186789|10678	0	0	0	144.0	0	0	0	0	0	121.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae	10239|||28883|10744	0	51.0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae|g__P22virus	10239|||28883|10744|186794	0	51.0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae|g__P22virus|s__Enterobacteria_phage_IME10	10239|||28883|10744|186794|1090133	0	51.0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0	0	0	0	0	0	0	0	0	243.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified	10239|||28883|10699|	0	0	0	0	0	0	0	0	0	243.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Salmonella_phage_SSU5	10239|||28883|10699||1177632	0	0	0	0	0	0	0	0	0	243.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	0	23.0	11.0	9.0	0	0	0	0	0	0	0	7.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Caulimoviridae	10239|||2169561|186534	0	23.0	11.0	9.0	0	0	0	0	0	0	0	7.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Caulimoviridae|g__Solendovirus	10239|||2169561|186534|1232640	0	23.0	11.0	9.0	0	0	0	0	0	0	0	7.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Caulimoviridae|g__Solendovirus|s__Tobacco_vein_clearing_virus	10239|||2169561|186534|1232640|107324	0	23.0	11.0	9.0	0	0	0	0	0	0	0	7.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Tymovirales	10239|||675063	0	0	0	0	0	0	0	0	0	7.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Tymovirales|f__Betaflexiviridae	10239|||675063|675068	0	0	0	0	0	0	0	0	0	7.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Tymovirales|f__Betaflexiviridae|g__Carlavirus	10239|||675063|675068|12163	0	0	0	0	0	0	0	0	0	7.0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Tymovirales|f__Betaflexiviridae|g__Carlavirus|s__Potato_virus_S	10239|||675063|675068|12163|12169	0	0	0	0	0	0	0	0	0	7.0	0	0
unclassified	-1	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	0
